effective_build_year,net_area,basement_finished,has_garage,has_fireplace,house_number,fully_taxable,building_count,walkout_basement,air_conditioning,tot_gross_area_description,lot_size,property_type,assessed_value
1966,143.01,1,1,1,12504,1,1,0,0,182.16,726.078,RESIDENTIAL,580500
1990,232.01,1,1,1,15712,1,1,1,0,276.89,507.37,RESIDENTIAL,580500
1966,210.1,1,1,0,15103,1,1,0,0,255.1,612.25,RESIDENTIAL,580500
1980,267.45,0,1,1,10707,1,1,0,0,311.67,561.823,RESIDENTIAL,580500
1965,121.67,1,1,1,8604,1,1,0,1,164.45,779.5,RESIDENTIAL,580500
1988,225.9,0,1,1,802,1,1,0,0,274.9,638.88,RESIDENTIAL,580500
1987,223.84,0,1,1,650,1,1,0,0,278.84,690.96,RESIDENTIAL,580500
2011,238.4,1,1,1,3503,1,1,0,0,284.5,637.745,RESIDENTIAL,580500
2000,176.4,0,1,1,1105,1,1,0,0,217,455.16,RESIDENTIAL,580500
2005,226,0,1,1,2009,1,1,0,0,263.2,468.838,RESIDENTIAL,580500
2003,225.1,1,1,1,717,1,1,1,1,271.4,753.02,RESIDENTIAL,580500
2001,190,0,1,1,1650,1,1,0,1,226.8,460.523,RESIDENTIAL,580500
2005,167.6,1,1,1,3305,1,1,0,0,212.6,513.163,RESIDENTIAL,580500
2005,199.5,1,1,1,1243,1,1,0,0,235.3,453.495,RESIDENTIAL,580500
2013,213.2,1,1,1,2569,1,1,0,0,262.2,433.562,RESIDENTIAL,580500
2007,204.6,0,1,1,2811,1,1,0,0,244.9,523.993,RESIDENTIAL,580500
2011,183.7,0,1,1,1463,1,1,0,0,220.9,626.02,RESIDENTIAL,580500
2010,209.3,0,1,1,1523,1,1,0,0,252.2,403.062,RESIDENTIAL,580500
1989,205.49,0,1,1,330,1,1,0,0,257.17,866.68,RESIDENTIAL,580500
1991,208.43,0,1,1,360,1,1,0,0,253.32,842.96,RESIDENTIAL,580500
1950,120,1,1,0,13510,1,1,0,0,195.9,757.03,RESIDENTIAL,580000
1979,306.89,1,1,1,15611,1,1,0,0,355.8,686.315,RESIDENTIAL,580000
1951,116.03,1,1,1,13712,1,1,0,0,169.63,560.334,RESIDENTIAL,580000
1960,508.36,0,0,0,12704,1,1,0,0,508.36,650.544,MULTI-RES,580000
1952,118.52,1,1,0,7327,1,1,0,0,205.18,724.427,RESIDENTIAL,580000
1977,198,1,1,0,10204,1,1,0,0,250.56,695.754,RESIDENTIAL,580000
1982,266.51,1,1,1,5304,1,1,0,0,315.91,620.364,RESIDENTIAL,580000
2013,185.8,1,1,1,676,1,1,1,0,224.6,379.21,RESIDENTIAL,580000
2005,226.3,1,1,1,12429,1,1,0,0,274.6,515.492,RESIDENTIAL,580000
2006,240,1,1,1,12418,1,1,0,0,285.9,490.883,RESIDENTIAL,580000
2011,222.54,1,1,1,8503,1,1,0,0,267.54,678.068,RESIDENTIAL,580000
1968,220.44,0,1,1,12508,1,1,0,0,265.33,975.733,RESIDENTIAL,580000
1961,278.7,0,0,0,9860,1,1,0,0,278.7,809.028,INDUSTRIAL,580000
1982,239.12,0,0,0,12810,1,3,0,0,282.23,3594.373,INDUSTRIAL,580000
1987,187.89,0,1,1,651,1,1,0,0,233.45,666.652,RESIDENTIAL,580000
1998,147,1,1,1,6,1,1,0,1,183.7,490.99,MULTI-RES,580000
1994,225.45,0,1,1,246,1,1,0,0,274.36,660.372,RESIDENTIAL,580000
1956,134.58,1,1,1,10683,1,1,0,1,175.45,683.41,RESIDENTIAL,580000
1996,150.9,1,1,1,1506,1,1,0,0,188,450.797,RESIDENTIAL,580000
1996,150.9,1,1,1,1510,1,1,0,1,188,485.713,RESIDENTIAL,580000
2011,232.7,1,1,1,608,1,1,0,0,281,473.632,RESIDENTIAL,580000
2001,196.1,1,1,1,1113,1,1,1,0,244.6,625.915,RESIDENTIAL,580000
2000,196.3,1,1,1,609,1,1,0,0,243,546,RESIDENTIAL,580000
1979,323.01,0,0,0,2919,1,1,0,1,323.013,805.35831,INDUSTRIAL,580000
1970,193.3,1,1,1,68,1,1,0,1,299,1294.924,RESIDENTIAL,580000
1984,235.74,0,1,1,4115,1,1,0,0,279.29,887.028,RESIDENTIAL,580000
1994,206.01,0,1,1,507,1,1,1,0,252.73,535.525,RESIDENTIAL,580000
1996,228.36,1,1,1,818,1,1,0,0,278.73,671.9,RESIDENTIAL,580000
1991,162.89,1,1,1,617,1,1,1,0,200.71,866.498,RESIDENTIAL,580000
1982,235.8,0,1,1,251,1,1,0,0,280.65,685.578,RESIDENTIAL,580000
1982,223.17,0,1,1,823,1,1,0,0,294.46,1004.516,RESIDENTIAL,580000
1983,226.92,0,1,1,102,1,1,0,0,284.18,683.573,RESIDENTIAL,580000
1997,236.34,0,1,1,612,1,1,0,0,290.74,596.685,RESIDENTIAL,580000
1986,187.09,0,1,1,248,1,1,0,0,236,669.52,RESIDENTIAL,580000
1987,195.51,0,1,1,609,1,1,0,0,236.38,746.69,RESIDENTIAL,580000
2013,249,1,1,1,20823,1,1,0,1,294.6,740.392,RESIDENTIAL,580000
1953,117.77,1,1,1,14023,1,1,0,0,171.06,775.791,RESIDENTIAL,579500
1977,255,0,1,0,12915,1,1,0,0,313,650.508,RESIDENTIAL,579500
1967,190.23,0,1,1,4708,1,1,0,0,231.1,971.037,RESIDENTIAL,579500
1986,249.02,1,1,1,3919,1,1,0,0,293.91,595.908,RESIDENTIAL,579500
2013,226.8,0,1,1,12240,1,1,0,0,266.6,375.216,RESIDENTIAL,579500
2010,179.7,0,1,1,663,1,1,0,0,219.8,432.833,RESIDENTIAL,579500
1980,267.73,0,1,1,5511,1,1,0,0,309.94,821.868,RESIDENTIAL,579500
2007,204.1,0,1,1,5525,1,1,1,0,244.4,521.202,RESIDENTIAL,579500
2013,217.7,0,1,1,17818,1,1,0,0,256.5,375.363,RESIDENTIAL,579500
2010,217.7,0,1,1,2825,1,1,0,1,262.7,491.984,RESIDENTIAL,579500
1993,222.57,0,1,1,230,1,1,0,0,267.46,817.066,RESIDENTIAL,579500
2013,225.7,0,1,1,4906,1,1,0,0,277.9,440.837,RESIDENTIAL,579500
1999,161.2,1,1,1,539,1,1,0,1,206.1,641,RESIDENTIAL,579500
2000,207.3,0,1,1,215,1,1,0,0,248.1,492,RESIDENTIAL,579500
1998,176.91,1,1,1,923,1,1,0,0,219.79,525.246,RESIDENTIAL,579500
2000,114,1,1,1,257,1,1,0,0,162.5,502.006,RESIDENTIAL,579500
2007,191.5,0,1,1,1609,1,1,0,0,231.3,431.088,RESIDENTIAL,579500
1986,189.66,1,1,1,105,1,1,1,0,239.66,593.287,RESIDENTIAL,579500
1997,151.5,1,1,1,528,1,1,1,0,204.79,1026.64,RESIDENTIAL,579500
1995,244.81,0,1,1,807,1,1,0,0,287.69,593.675,RESIDENTIAL,579500
2002,220.3,0,1,1,1411,1,1,1,0,269.3,536.003,RESIDENTIAL,579500
2002,150.5,1,1,1,324,1,1,0,1,190,488.288,RESIDENTIAL,579500
2010,184,0,1,1,1513,1,1,0,0,233.1,550.499,RESIDENTIAL,579500
2012,166,0,1,1,1539,1,1,0,0,204.5,973.035,RESIDENTIAL,579500
1989,238.93,0,1,1,1104,1,1,0,0,283.82,719.65,RESIDENTIAL,579000
1986,272.3,0,1,1,3520,1,1,0,0,315.2,569.16,RESIDENTIAL,579000
1998,225.2,0,1,1,11705,1,1,0,0,273,760.658,RESIDENTIAL,579000
2007,210.2,1,1,1,1958,1,1,0,0,262.9,624.577,RESIDENTIAL,579000
1970,146.7,1,1,1,6212,1,1,0,0,187.57,925.446,RESIDENTIAL,579000
1973,243.39,0,1,1,14712,1,1,0,0,281.67,775.886,RESIDENTIAL,579000
1994,130.64,0,1,1,18616,0,2,0,0,713.954,70930.31112,AGRICULTURE,579000
1999,1,0,0,0,3104,1,0,0,0,0,2363.99,INDUSTRIAL,579000
2010,129.7,1,1,1,921,1,1,1,0,169.1,375.741,RESIDENTIAL,579000
1998,147,1,1,1,4,1,1,0,1,183.7,481.99,MULTI-RES,579000
1956,137.24,1,1,1,10719,1,1,0,0,185.42,836.031,RESIDENTIAL,579000
2002,211.3,0,1,1,1425,1,1,0,0,261.1,441.959,RESIDENTIAL,579000
1984,184.45,0,1,1,744,1,1,0,1,234.09,650.336,RESIDENTIAL,579000
2004,205.8,1,1,1,243,1,1,0,0,244.6,426.836,RESIDENTIAL,579000
2003,218.5,0,1,1,432,1,1,0,0,259.4,499.52,RESIDENTIAL,579000
2000,212.9,0,1,1,230,1,1,0,0,257.4,686.877,RESIDENTIAL,579000
1996,200.65,0,1,1,515,1,1,0,0,246.85,746.376,RESIDENTIAL,579000
2000,130.7,1,1,1,605,1,1,1,0,171.6,468.974,RESIDENTIAL,579000
2007,200,0,1,1,1509,1,1,0,0,249.1,504.095,RESIDENTIAL,579000
2006,113.6,1,1,1,3719,1,1,0,0,157.2,429.026,RESIDENTIAL,579000
2010,225.5,0,1,1,2537,1,1,0,0,270.5,479.234,RESIDENTIAL,579000
1985,252.39,0,1,1,15112,1,1,0,0,302.64,663.187,RESIDENTIAL,579000
1981,255.02,0,1,1,15203,1,1,0,0,303.93,739.369,RESIDENTIAL,579000
2004,198.7,1,1,1,2317,1,1,1,1,239.5,421.352,RESIDENTIAL,579000
1979,242.51,0,1,1,24,1,1,0,0,297.26,771.012,RESIDENTIAL,579000
2010,202.3,0,1,1,3316,1,1,0,0,243.2,439.278,RESIDENTIAL,579000
1974,121.67,1,1,1,20910,1,1,0,0,200.71,13167.5,RESIDENTIAL,579000
1960,1,0,0,0,6215,0,1,0,0,1,1893.901,URBAN,578500
2012,154.4,1,1,1,7649,1,1,0,0,203.4,707.777,RESIDENTIAL,578500
1962,116.94,1,1,0,7403,1,1,0,0,174.61,517.183,RESIDENTIAL,578500
2013,212.7,0,1,1,16308,1,1,0,0,260.9,794.348,RESIDENTIAL,578500
1969,181.48,1,1,1,6104,1,1,0,0,219.24,835.737,RESIDENTIAL,578500
2013,255.4,0,1,1,13424,1,1,0,0,298.5,371.437,RESIDENTIAL,578500
2007,207.9,0,1,1,9465,1,1,1,0,265.6,560.35,RESIDENTIAL,578500
1977,207.48,1,1,1,12430,1,1,0,0,256.39,713.247,RESIDENTIAL,578500
1966,187.08,0,1,1,12412,1,1,0,1,231.61,836.057,RESIDENTIAL,578500
1996,322.81,0,1,1,15618,1,1,0,0,362.46,1047.78,RESIDENTIAL,578500
2006,258.4,0,1,1,16518,1,1,0,0,302.9,543.529,RESIDENTIAL,578500
2001,250.2,0,1,1,7825,1,1,0,0,299.9,303.737,MULTI-RES,578500
1907,236.4,0,1,0,11202,1,1,0,0,266.65,558.061,RESIDENTIAL,578500
2010,219.9,0,1,1,2012,1,1,0,0,281.2,534.674,RESIDENTIAL,578500
2011,216.3,0,1,1,2538,1,1,0,0,281.8,491.292,RESIDENTIAL,578500
2011,222.3,1,1,1,2540,1,1,0,0,263.9,445.394,RESIDENTIAL,578500
1995,214.47,1,1,1,1010,1,1,0,0,263.38,564.775,RESIDENTIAL,578500
1989,212.34,0,1,1,520,1,1,0,0,259.79,799.69,RESIDENTIAL,578500
1992,238.37,0,1,1,741,1,1,0,0,286.87,543.44,RESIDENTIAL,578500
1992,221.36,0,1,1,828,1,1,0,0,279.26,533.035,RESIDENTIAL,578500
2002,143,1,1,1,929,1,1,0,0,185.5,501.912,RESIDENTIAL,578500
2001,144.5,1,1,1,631,1,1,0,1,182.9,564.142,RESIDENTIAL,578500
2004,196.2,0,1,1,1519,1,1,0,0,243,536.338,RESIDENTIAL,578500
1990,227.94,0,1,1,319,1,1,0,0,278.34,627.776,RESIDENTIAL,578500
2006,202.1,1,1,1,1604,1,1,0,0,243.3,436.552,RESIDENTIAL,578500
2005,200.3,1,1,1,1831,1,1,0,0,238.3,449.435,RESIDENTIAL,578500
2006,216.3,0,1,1,1315,1,1,0,0,257.2,417.421,RESIDENTIAL,578500
2008,240.5,0,1,1,8653,1,1,0,0,285.7,475.331,RESIDENTIAL,578500
1958,137.5,0,1,0,14425,1,1,0,0,161.62,480.985,RESIDENTIAL,578500
2002,150.6,1,1,1,1305,1,1,0,1,189.9,532.533,RESIDENTIAL,578500
1995,90.25,0,1,0,20008,0,3,0,0,774.302,314262.2912,AGRICULTURE,578500
1971,168.52,1,1,0,4704,1,1,0,0,242.34,543.385,RESIDENTIAL,578000
1998,220.5,0,1,1,11829,1,1,0,0,267.4,999.906,RESIDENTIAL,578000
1968,187,0,1,1,4604,1,1,0,0,235.18,1451.884,RESIDENTIAL,578000
1980,220.48,0,1,1,4205,1,1,0,0,292.02,1021.163,RESIDENTIAL,578000
1980,243.74,0,1,1,10546,1,1,0,0,287.84,561.872,RESIDENTIAL,578000
2012,211.6,0,1,1,509,1,1,0,0,256.2,390.255,RESIDENTIAL,578000
1992,285.61,1,1,1,10432,1,1,0,0,328.88,1153,RESIDENTIAL,578000
1980,282.05,0,1,1,5920,1,1,0,0,325.69,756.151,RESIDENTIAL,578000
1980,330.31,1,1,0,11720,1,1,0,0,375.2,713.21,RESIDENTIAL,578000
1973,155.44,1,1,1,12028,1,1,0,0,196.31,684.055,RESIDENTIAL,578000
1990,237.81,1,1,1,4204,1,1,0,0,316.76,784.94,RESIDENTIAL,578000
1967,171.24,1,1,0,12331,1,1,0,0,210.28,668.349,RESIDENTIAL,578000
1979,191.78,0,1,1,17524,1,1,0,0,235.94,681.32,RESIDENTIAL,578000
1973,149.08,1,1,1,15124,1,1,1,0,201.64,772.708,RESIDENTIAL,578000
2011,211.2,1,1,1,2003,1,1,0,0,264.7,1025.189,RESIDENTIAL,578000
1984,141.7,1,1,1,6507,1,1,0,0,199.37,568.895,RESIDENTIAL,578000
1989,239.97,0,1,1,519,1,1,0,0,282.85,561.21,RESIDENTIAL,578000
2011,210.1,0,1,1,1418,1,1,0,1,252.2,505.674,RESIDENTIAL,578000
2001,247.2,0,1,1,309,1,1,0,0,292.1,613.574,RESIDENTIAL,578000
2010,197.6,0,1,1,734,1,1,0,0,269.49,614.446,RESIDENTIAL,578000
2013,217.4,1,1,1,3475,1,1,0,0,268.6,843.619,RESIDENTIAL,578000
2005,205.9,1,1,1,1708,1,1,0,1,241.7,428.934,RESIDENTIAL,578000
2001,250.9,1,1,1,2237,1,1,0,0,298.3,573,RESIDENTIAL,578000
2001,134.8,1,1,1,991,1,1,0,0,183.8,546.539,RESIDENTIAL,578000
2000,189,1,1,1,1412,1,1,0,0,230.6,593.636,RESIDENTIAL,578000
2006,183.5,1,1,1,1322,1,1,1,0,219.7,387.288,RESIDENTIAL,578000
1985,199.71,0,1,1,216,1,1,0,0,241.25,716.033,RESIDENTIAL,578000
1989,145.88,1,1,1,223,1,1,0,1,216.93,621.52,RESIDENTIAL,578000
1989,228.05,0,1,1,428,1,1,0,0,270.93,577.23,RESIDENTIAL,578000
2007,177.3,1,1,1,8630,1,1,1,0,222.1,509.905,RESIDENTIAL,578000
2004,150.6,1,1,1,410,1,1,0,0,193.5,484.032,RESIDENTIAL,578000
2003,226.6,1,1,1,2336,1,1,0,0,266.5,469.896,RESIDENTIAL,578000
2003,203.1,0,1,1,914,1,1,0,0,244.1,531.839,RESIDENTIAL,578000
1997,178.9,0,1,1,972,1,1,0,0,225.6,720.568,RESIDENTIAL,578000
2013,221,0,1,0,1621,1,1,0,0,264.4,425.23,RESIDENTIAL,578000
1993,200.42,1,1,1,1312,1,1,0,0,252.9,656.374,RESIDENTIAL,578000
2011,237.8,0,1,1,21817,1,1,0,0,286.1,566.145,RESIDENTIAL,578000
1961,144.84,1,0,1,6611,1,1,0,0,196.41,736.858,RESIDENTIAL,577500
1972,192.87,0,1,1,6324,1,1,0,0,237.09,1124.256,RESIDENTIAL,577500
1972,201.4,1,1,1,7615,1,1,0,0,243.2,1021.44,RESIDENTIAL,577500
1993,143.13,0,1,1,310,1,1,0,0,264.65,6759.964,AGRICULTURE,577500
1966,171.3,1,1,1,12308,1,1,0,0,198.1,587.844,RESIDENTIAL,577500
1984,246.36,0,1,1,14736,1,1,0,0,289.91,785.178,RESIDENTIAL,577500
1979,268.15,0,1,1,14730,1,1,0,0,317.06,829.643,RESIDENTIAL,577500
1967,189.09,0,1,1,12408,1,1,0,0,233.62,836.082,RESIDENTIAL,577500
1963,128.14,1,1,1,13103,1,1,0,0,177.05,747.539,RESIDENTIAL,577500
2011,222.9,1,1,1,2127,1,1,0,0,262.9,673.003,RESIDENTIAL,577500
1958,195.48,1,1,0,8603,1,1,0,0,244.39,653.321,RESIDENTIAL,577500
2003,247.4,0,1,1,15728,1,1,0,0,294.2,517.643,RESIDENTIAL,577500
1965,113.9,1,1,1,12111,1,1,0,0,158.43,863.939,RESIDENTIAL,577500
1989,229.82,0,1,0,523,1,1,0,0,281.17,565.32,RESIDENTIAL,577500
1992,244.07,0,1,1,755,1,1,0,0,286.95,515.619,RESIDENTIAL,577500
1958,129.56,1,1,0,6103,1,1,0,0,178.47,818.014,RESIDENTIAL,577500
1992,238.7,0,1,1,314,1,1,0,0,278.9,689.279,RESIDENTIAL,577500
2002,217.5,0,1,1,714,1,1,0,0,266.5,515.535,RESIDENTIAL,577500
2009,225.1,0,1,1,2329,1,1,0,1,270.1,442.197,RESIDENTIAL,577500
1999,250.91,0,1,1,621,1,1,0,0,302.26,571.951,RESIDENTIAL,577500
1989,207.21,1,1,1,107,1,1,1,0,247.18,504.154,RESIDENTIAL,577500
2011,194.5,0,1,1,1525,1,1,0,0,247,586.75,RESIDENTIAL,577500
1989,192.5,0,1,1,456,1,1,0,0,234.8,861.98,RESIDENTIAL,577500
1991,150.42,1,1,1,632,1,1,0,0,187.64,563.978,RESIDENTIAL,577500
2010,214.7,0,1,1,2043,1,1,0,1,260.1,468.209,RESIDENTIAL,577500
1989,201.88,1,1,1,329,1,1,0,0,246.77,650.7,RESIDENTIAL,577500
2010,205.9,0,1,1,3419,1,1,0,0,248.1,409.568,RESIDENTIAL,577500
1978,230.72,0,1,1,19,1,1,0,0,281.64,684.527,RESIDENTIAL,577500
1980,312.49,1,1,1,15812,1,1,0,0,365.42,587.344,RESIDENTIAL,577000
2002,141.1,0,1,1,9136,1,1,0,0,178.3,271.499,RESIDENTIAL,577000
1952,150.12,1,1,1,14015,1,1,0,0,178.24,775.824,RESIDENTIAL,577000
1995,228.12,0,1,1,1429,1,1,0,0,272.65,673.989,RESIDENTIAL,577000
1998,198.3,1,1,1,11829,1,1,0,0,252.4,744.353,RESIDENTIAL,577000
1977,258.4,1,1,0,8813,1,1,0,0,314.68,696.43,RESIDENTIAL,577000
2013,189.7,0,1,1,15888,1,1,1,0,238.8,489.652,RESIDENTIAL,577000
2007,245.6,0,1,1,7111,1,1,0,0,287.9,439.849,RESIDENTIAL,577000
2007,234.7,0,1,1,7207,1,1,0,0,279.3,492.077,RESIDENTIAL,577000
2013,199.6,0,1,1,1004,1,1,0,0,243.5,566.751,RESIDENTIAL,577000
2012,267.8,0,1,1,8532,1,1,0,0,308.1,474.952,RESIDENTIAL,577000
1980,302.81,1,1,1,7803,1,1,0,0,347.7,1014.28,RESIDENTIAL,577000
1967,159.75,1,1,1,12320,1,1,0,0,203.16,668.349,RESIDENTIAL,577000
1993,214.32,0,1,0,9841,1,1,0,0,281.47,570.314,RESIDENTIAL,577000
2006,234.573,0,0,0,2411,0,1,0,1,234.573,435.871,INDUSTRIAL,577000
2012,240.6,0,1,1,2806,1,1,0,0,287.5,411.263,RESIDENTIAL,577000
1993,208.11,1,1,1,713,1,1,0,0,255.94,1039.37,RESIDENTIAL,577000
1987,168.46,0,1,1,830,1,1,0,1,223.21,728.78,RESIDENTIAL,577000
2010,214.8,0,1,1,1005,1,1,0,0,254.9,603.754,RESIDENTIAL,577000
1989,156.7,1,1,1,208,1,1,0,0,194.5,528.16,RESIDENTIAL,577000
2001,246.4,0,1,1,306,1,1,0,0,311.4,548.401,RESIDENTIAL,577000
2002,145.1,1,1,1,517,1,1,0,0,200.7,598.099,RESIDENTIAL,577000
2010,226.2,0,1,1,2325,1,1,0,0,267.07,482.942,RESIDENTIAL,577000
2000,196,0,1,1,1003,1,1,0,0,233.2,535.472,RESIDENTIAL,577000
2003,219.8,0,1,1,1909,1,1,0,0,260.6,476.07,RESIDENTIAL,577000
2005,140.1,0,1,1,924,1,1,0,0,189.2,508.501,RESIDENTIAL,577000
2006,196.2,1,1,1,1317,1,1,0,0,233.5,417.458,RESIDENTIAL,577000
2006,200.2,0,1,1,1209,1,1,0,0,241.1,384.534,RESIDENTIAL,577000
1989,196.09,0,1,1,111,1,1,0,0,244.64,629.95,RESIDENTIAL,577000
1994,193.02,1,1,1,506,1,1,1,0,240.92,569.332,RESIDENTIAL,577000
2005,223.9,1,1,1,8214,1,1,0,0,265.7,450.49,RESIDENTIAL,577000
2010,225.7,0,1,1,2212,1,1,0,0,266.6,418.371,RESIDENTIAL,577000
1998,227.98,1,1,1,622,1,1,0,0,272.87,535.265,RESIDENTIAL,577000
1998,274.2,0,1,1,11302,1,1,0,0,327.7,578.997,RESIDENTIAL,576500
1952,118.4,1,1,1,7406,1,1,0,0,147.21,872.001,RESIDENTIAL,576500
1961,133.58,1,1,1,8208,1,1,0,0,174.45,657.429,RESIDENTIAL,576500
1986,215.37,1,1,1,3807,1,1,0,0,258.25,693.843,RESIDENTIAL,576500
2010,251.8,1,1,1,7903,1,1,0,0,305.3,657.599,RESIDENTIAL,576500
1970,141.9,0,1,1,12211,1,1,0,0,172.5,538.689,RESIDENTIAL,576500
1979,269.26,0,1,1,14725,1,1,0,1,367.08,766.468,RESIDENTIAL,576500
1972,194.04,0,1,1,14328,1,1,0,0,239.58,696.11,RESIDENTIAL,576500
1988,170.49,1,1,1,1708,1,1,0,1,216.73,939.11,RESIDENTIAL,576500
1989,223.55,0,1,1,609,1,1,0,0,275.23,619.57,RESIDENTIAL,576500
1993,214.5,0,1,1,817,1,1,0,0,269.52,663.991,RESIDENTIAL,576500
2010,229.3,0,1,1,1019,1,1,0,0,275.8,628.026,RESIDENTIAL,576500
2003,206.1,0,1,1,720,1,1,0,1,251,542.672,RESIDENTIAL,576500
1973,213.93,0,1,0,2050,1,1,0,0,289.17,123902.0892,AGRICULTURE,576500
1992,189.1,1,1,1,118,1,1,0,0,226.31,637.24,RESIDENTIAL,576500
1997,156.68,1,1,1,823,1,1,0,0,215.68,605.129,RESIDENTIAL,576500
1997,197.18,0,1,1,835,1,1,0,0,236.22,774.389,RESIDENTIAL,576500
1974,100.6,1,1,1,128,1,1,0,0,172.49,3951.218,RESIDENTIAL,576500
1989,203.62,1,1,1,731,1,1,0,0,240.82,611.36,RESIDENTIAL,576500
1969,192.6,1,1,1,12416,1,1,0,0,241.51,720.25,RESIDENTIAL,576500
2000,198.6,0,1,1,604,1,1,0,0,241.8,501.95,RESIDENTIAL,576500
2001,228.1,0,1,1,155,1,1,0,0,268.2,482.139,RESIDENTIAL,576500
2005,113.6,1,1,1,3707,1,1,0,0,157.2,456.107,RESIDENTIAL,576500
1968,189.1,1,1,1,16004,1,1,0,0,234.9,780.067,RESIDENTIAL,576500
1998,238.7,0,1,1,822,1,1,0,0,281.6,669.741,RESIDENTIAL,576500
1984,169.98,1,1,1,715,1,1,0,0,228.53,694.225,RESIDENTIAL,576500
2005,138.6,1,1,1,6627,1,1,0,0,179.1,490.847,RESIDENTIAL,576500
2001,189.7,0,1,1,208,1,1,0,0,243.6,498.429,RESIDENTIAL,576500
2010,222.5,0,1,1,2205,1,1,0,0,267.39,482.974,RESIDENTIAL,576500
1995,198.06,0,1,1,980,1,1,0,0,244.96,785.487,RESIDENTIAL,576500
2013,212.8,0,1,1,2215,1,1,0,0,253.7,382.727,RESIDENTIAL,576500
2010,181.8,1,1,1,1507,1,1,0,0,230.9,442.279,RESIDENTIAL,576500
2010,179.6,0,1,1,17923,1,1,0,0,220.5,471.129,RESIDENTIAL,576000
1948,115.08,1,1,0,9130,1,1,0,0,148.63,696.337,RESIDENTIAL,576000
1962,164.32,1,1,1,6407,1,1,0,0,194.32,768.741,RESIDENTIAL,576000
1998,170.1,1,1,1,14511,1,1,0,1,227.3,798.397,RESIDENTIAL,576000
2011,231.8,0,1,1,11532,1,1,0,0,282.9,672.824,RESIDENTIAL,576000
2013,225.7,0,1,1,713,1,1,0,0,269,402.743,RESIDENTIAL,576000
2006,190.7,0,1,1,5509,1,1,1,0,235.7,692.415,RESIDENTIAL,576000
1979,257.18,1,1,1,11703,1,1,0,1,308.28,762.433,RESIDENTIAL,576000
1966,176.8,1,1,1,12507,1,1,0,0,231.2,966.188,RESIDENTIAL,576000
1973,187.28,0,1,1,15115,1,1,0,0,226.32,724.365,RESIDENTIAL,576000
1988,217.73,0,1,1,614,1,1,0,0,268.65,647.33,RESIDENTIAL,576000
2007,201.6,1,1,1,846,1,1,0,1,242.5,446.359,RESIDENTIAL,576000
2002,215.3,0,1,1,728,1,1,0,0,256.2,543.962,RESIDENTIAL,576000
2011,257,0,1,1,3516,1,1,0,0,297.9,651.761,RESIDENTIAL,576000
1999,199.9,1,1,1,325,1,1,0,0,244.7,497,RESIDENTIAL,576000
2006,196.6,1,1,1,1313,1,1,0,0,236.8,417.395,RESIDENTIAL,576000
1991,227.31,0,1,1,404,1,1,0,0,279.14,621.104,RESIDENTIAL,576000
1998,212.3,0,1,1,350,1,1,0,0,253.1,656.78,RESIDENTIAL,576000
1990,192.7,0,1,1,375,1,1,0,0,235.58,744.55,RESIDENTIAL,576000
1989,237.26,0,1,1,824,1,1,0,0,281.36,546.089,RESIDENTIAL,576000
2010,201.7,0,1,1,3328,1,1,0,0,245.8,424.035,RESIDENTIAL,576000
2012,203.3,0,1,1,21922,1,1,1,0,252.4,378.916,RESIDENTIAL,576000
2002,209,1,1,1,723,1,1,0,0,247.6,467.09,RESIDENTIAL,575500
2013,228.9,0,1,1,15835,1,1,0,0,274.5,411.298,RESIDENTIAL,575500
1998,159.2,0,1,1,7532,1,1,0,1,204.09,367.781,RESIDENTIAL,575500
1954,117.78,1,1,0,7505,1,1,0,0,154.99,591.088,RESIDENTIAL,575500
1953,122.08,0,1,0,8007,1,1,0,0,150.89,791.988,RESIDENTIAL,575500
1978,233.59,1,1,0,2824,1,1,0,0,282.5,692.309,RESIDENTIAL,575500
1968,181.88,1,1,1,4724,1,1,0,1,219.64,792.677,RESIDENTIAL,575500
1960,124.1,1,1,1,7908,1,1,0,0,161.31,726.147,RESIDENTIAL,575500
1986,235.67,1,1,1,3911,1,1,0,0,283.24,618.512,RESIDENTIAL,575500
2011,229.3,0,1,1,11432,1,1,0,0,272.6,640.5,RESIDENTIAL,575500
1978,256.02,0,1,1,5707,1,1,0,0,293.23,555.227,RESIDENTIAL,575500
2010,128.7,1,1,1,667,1,1,0,1,168.2,457.279,RESIDENTIAL,575500
2011,200.8,0,1,1,1016,1,1,0,0,242.8,435.552,RESIDENTIAL,575500
2011,177.5,1,1,1,524,1,1,0,0,225.6,466.421,RESIDENTIAL,575500
1979,269.92,1,1,1,11316,1,1,0,0,318.83,762.287,RESIDENTIAL,575500
1985,220.67,1,1,1,12004,1,1,0,0,273.23,702.258,RESIDENTIAL,575500
1958,127.13,0,0,0,2904,1,1,0,0,127.13,69586.229,RESIDENTIAL,575500
1978,212.9,1,1,1,12418,1,1,0,0,271.86,702.169,RESIDENTIAL,575500
1976,129.92,1,1,1,3180,1,1,0,0,190.89,202206.1891,AGRICULTURE,575500
2006,232.7,0,1,1,3104,1,1,0,0,270.7,511.077,RESIDENTIAL,575500
1988,201.95,1,1,1,14809,1,1,0,1,250.95,638.996,RESIDENTIAL,575500
2000,152.36,0,0,0,2420,1,1,0,0,152.356,3061.834,COMMERCIAL,575500
1969,202.5,0,1,1,14204,1,1,0,0,243.37,761.404,RESIDENTIAL,575500
